Key,Source,Context,Changes,English,japanese,german
attprestige,progression,Attribute,New,Prestige Perks,プレステージ,Prestige-Talente
attPrestigeNeme,progression,Attribute,New,Prestige Skills,プレステージスキル,Prestige Skills
attPrestigeDesc,progression,Attribute,New,Spend some of that redundant skill points on some neat extra effects!,余分なスキルポイントをきちんとした追加効果に使いましょう!,Investiere deine überschüssigen Talentpunkte in ein paar ordentliche Boni.
PrestigeBase,progression,Attribute,New,Unlock Prestige,プレステージ開放, Prestige freischalten
PrestigeLongDesc,progression,Attribute,New,You've unlocked the prestige skills and now got full access to a bunch of new skillsets. Congrats!,プレステージスキルがアンロックされ、新しいスキルセットを仕様できるようになりました。おめでとうございます。,Du hast die Prestige Skills freigeschaltet und hast nun Zugang zu einer Menge neuer Fähigkeiten. Glückwunsch!

Physical,progression,skills,New,Physical,身体能力,Physisch
Mental,progression,skills,New,Mental,精神力,Mental
MeleeMasteries,progression,skills,New,Melee Masteries,近接マスター,Nahkampfmeisterschaften
RangedMasteries,progression,skills,New,Ranged Masteries,遠距離マスター,Fernkampfmeisterschaften
Luck,progression,skills,New,Luck,幸運,Glück

PhysicalDesc,progression,skills,New,Perks to increase some of your physical stats!,強さ、忍耐系,Talente zur Erhöhung physischer Eigenschaften!
MentalDesc,progression,skills,New,Perks to increase some of your mental stats!,知覚、知能系,Talente zur Erhöhung mentaler Eigenschaften!
MeleeMasteriesDesc,progression,skills,New,Perks for melee masteries!,ツールを含む近接系,Talente zur Beherrschung des Nahkampfes!
RangedMasteriesDesc,progression,skills,New,Perks for ranged masteries!,爆発物を含む遠距離系,Talente zur Beherrschung des Fernkampfes!
LuckDesc,progression,skills,New,Perks to increase your luck in different ways!,素早さ、知覚、幸運系,Talente, die auf verschiedene Weisen dein Glück erhöhen!

AcrobaticsName,progression,Attribute,New,Acrobatics,アクロバティック, Akrobatik
AcrobaticsDesc,progression,Attribute,New,You're pretty agile and learned how to avoid injuries from falling uncontrolled.,不意に落下しても怪我をしないようにする方法を学びました。,"Du bist ziemlich gelenkig und hast gelernt, Verletzungen durch unkontrollierte Stürze zu vermeiden."
AcrobaticsRank1Desc,progression,Attribute,New,+1m Safe Fall Distance,落下可能距離+1m,+1m sichere Falldistanz
AcrobaticsRank2Desc,progression,Attribute,New,+2m Safe Fall Distance,落下可能距離+2m,+2m sichere Falldistanz
AcrobaticsRank3Desc,progression,Attribute,New,+3m Safe Fall Distance,落下可能距離+3m,+3m sichere Falldistanz
AcrobaticsRank4Desc,progression,Attribute,New,+4m Safe Fall Distance,落下可能距離+4m,+4m sichere Falldistanz
AcrobaticsRank5Desc,progression,Attribute,New,+5m Safe Fall Distance,落下可能距離+5m,+5m sichere Falldistanz
AcrobaticsRank1LongDesc,progression,Attribute,New,Increase your safe fall distance by 1m.,安全な落下距離を1m延長します。,Erhöht die sichere Distanz beim Fallen um 1m.
AcrobaticsRank2LongDesc,progression,Attribute,New,Increase your safe fall distance by 2m.,安全な落下距離を2m延長します。,Erhöht die sichere Distanz beim Fallen um 2m.
AcrobaticsRank3LongDesc,progression,Attribute,New,Increase your safe fall distance by 3m.,安全な落下距離を3m延長します。,Erhöht die sichere Distanz beim Fallen um 3m.
AcrobaticsRank4LongDesc,progression,Attribute,New,Increase your safe fall distance by 4m.,安全な落下距離を4m延長します。,Erhöht die sichere Distanz beim Fallen um 4m.
AcrobaticsRank5LongDesc,progression,Attribute,New,Increase your safe fall distance by 5m.,安全な落下距離を5m延長します。,Erhöht die sichere Distanz beim Fallen um 5m.

HeatSynergyName,progression,skills,New,Heat Synergy,熱気耐性,Hitzesynergie
HeatSynergyDesc,progression,skills,New,You've lived in the desert for a long time thus heat has less effects on you.,長い間砂漠ですごしたため、暑さに対して耐性を獲得した。,Du hast lange Zeit in der Wüste verbracht und wirst durch Hitze weniger beeinflusst.
HeatSynergyRank1Desc,progression,skills,New,+5 Heat Resistance,熱気耐性+5,Hitzeresistenz +5
HeatSynergyRank2Desc,progression,skills,New,+9 Heat Resistance,熱気耐性+9,Hitzeresistenz +9
HeatSynergyRank3Desc,progression,skills,New,+12 Heat Resistance,熱気耐性+12,Hitzeresistenz +12
HeatSynergyRank4Desc,progression,skills,New,+14 Heat Resistance,熱気耐性+14,Hitzeresistenz +14
HeatSynergyRank5Desc,progression,skills,New,+15 Heat Resistance,熱気耐性+15,Hitzeresistenz +15
HeatSynergyRank1LongDesc,progression,skills,New,Increase your resistance against heat by 5,あなたの熱気耐性を5増加させます。,Erhöht deine Resistenz gegen Hitze um 5.
HeatSynergyRank2LongDesc,progression,skills,New,Increase your resistance against heat by 9,あなたの熱気耐性を9増加させます。,Erhöht deine Resistenz gegen Hitze um 9.
HeatSynergyRank3LongDesc,progression,skills,New,Increase your resistance against heat by 12,あなたの熱気耐性を12増加させます。,Erhöht deine Resistenz gegen Hitze um 12.
HeatSynergyRank4LongDesc,progression,skills,New,Increase your resistance against heat by 14,あなたの熱気耐性を14増加させます。,Erhöht deine Resistenz gegen Hitze um 14.
HeatSynergyRank5LongDesc,progression,skills,New,Increase your resistance against heat by 15,あなたの熱気耐性を15増加させます。,Erhöht deine Resistenz gegen Hitze um 15.

ColdSynergyName,progression,skills,New,Cold Synergy,冷気耐性,Kältesynergie
ColdSynergyDesc,progression,skills,New,"You've lived in the frosty mountains for a long time thus cold has less effects on you.",長い間雪の降る山岳ですごしたため、寒さに対して耐性を獲得した。,Du hast lange Zeit in eisigen Gebirgen verbracht und wirst durch Kälte weniger beeinflusst.
ColdSynergyRank1Desc,progression,skills,New,+5 Cold Resistance,冷気耐性+5,Kälteresistenz +5
ColdSynergyRank2Desc,progression,skills,New,+9 Cold Resistance,冷気耐性+9,Kälteresistenz +9
ColdSynergyRank3Desc,progression,skills,New,+12 Cold Resistance,冷気耐性+12,Kälteresistenz +12
ColdSynergyRank4Desc,progression,skills,New,+14 Cold Resistance,冷気耐性+14,Kälteresistenz +14
ColdSynergyRank5Desc,progression,skills,New,+15 Cold Resistance,冷気耐性+15,Kälteresistenz +15
ColdSynergyRank1LongDesc,progression,skills,New,Increase your resistance against cold by 5,あなたの冷気耐性を5増加させます。,Erhöht deine Resistenz gegen Kälte um 5.
ColdSynergyRank2LongDesc,progression,skills,New,Increase your resistance against cold by 9,あなたの冷気耐性を9増加させます。,Erhöht deine Resistenz gegen Kälte um 9.
ColdSynergyRank3LongDesc,progression,skills,New,Increase your resistance against cold by 12,あなたの冷気耐性を12増加させます。,Erhöht deine Resistenz gegen Kälte um 12.
ColdSynergyRank4LongDesc,progression,skills,New,Increase your resistance against cold by 14,あなたの冷気耐性を14増加させます。,Erhöht deine Resistenz gegen Kälte um 14.
ColdSynergyRank5LongDesc,progression,skills,New,Increase your resistance against cold by 15,あなたの冷気耐性を15増加させます。,Erhöht deine Resistenz gegen Kälte um 15.

HealingArtsName,progression,Attribute,New,Healing Arts,治療技術,Heilkunst
HealingArtsDesc,progression,Attribute,New,You've learned how to properly treat wounds and increase the effectivity of your attempts. (additive bonus),傷を適切に治療する方法を学び、回復効果を高めました。(加算になります),"Du hast gelernt, Wunden fachgerecht zu behandeln. Dadurch steigt effektivität deiner Heilungsversuche. (Additiver Bonus)"
HealingArtsRank1Desc,progression,Attribute,New,+25% Medical Healing,回復量+25%,+25% Heilung durch Erste-Hilfe
HealingArtsRank2Desc,progression,Attribute,New,+45% Medical Healing,回復量+45%,+45% Heilung durch Erste-Hilfe
HealingArtsRank3Desc,progression,Attribute,New,+60% Medical Healing,回復量+60%,+60% Heilung durch Erste-Hilfe
HealingArtsRank4Desc,progression,Attribute,New,+70% Medical Healing,回復量+70%,+70% Heilung durch Erste-Hilfe
HealingArtsRank5Desc,progression,Attribute,New,+75% Medical Healing,回復量+75%,+75% Heilung durch Erste-Hilfe
HealingArtsRank1LongDesc,progression,Attribute,New,Increase the healing efficiency of medical items by 25%.,医療品使用時の回復量を25%上昇させます。,Erhöhe die Effektivität medizinischer Gegenstände um 25%.
HealingArtsRank2LongDesc,progression,Attribute,New,Increase the healing efficiency of medical items by 45%.,医療品使用時の回復量を45%上昇させます。,Erhöhe die Effektivität medizinischer Gegenstände um 45%.
HealingArtsRank3LongDesc,progression,Attribute,New,Increase the healing efficiency of medical items by 60%.,医療品使用時の回復量を60%上昇させます。,Erhöhe die Effektivität medizinischer Gegenstände um 60%.
HealingArtsRank4LongDesc,progression,Attribute,New,Increase the healing efficiency of medical items by 70%.,医療品使用時の回復量を70%上昇させます。,Erhöhe die Effektivität medizinischer Gegenstände um 70%.
HealingArtsRank5LongDesc,progression,Attribute,New,Increase the healing efficiency of medical items by 75%.,医療品使用時の回復量を75%上昇させます。,Erhöhe die Effektivität medizinischer Gegenstände um 75%.

ArmorSpecialistName,progression,skills,New,Armor Specialist,アーマースペシャリスト,Rüstungsspezialist
ArmorSpecialistDesc,progression,skills,New,"Your armor feels like a second skin and thus is even more durable now. Once warn enough you'll nullify all damage to armor! (In addition to the corresponding armor perk, the last rank will nullify all damage to armor).",あなたはアーマー取り扱いに熟達したことで、低い損耗で防御できるようになりました。(対応するアーマーパークと共に、最終ランクを取得すると耐久が減らなくなります),"Deine Rüstung fühlt sich wie eine zweite Haut an und ist dadurch deutlich beständiger. (Zusammen mit dem zugehörigen Rüstungstalent, nimmt deine Rüstung auf Rang 5 keinen Schaden mehr.)"
ArmorSpecialistRank1Desc,progression,skills,New,"-12% Armor Wearout",防具損耗率-12%,-12% Verschleiß von Rüstung
ArmorSpecialistRank2Desc,progression,skills,New,"-20% Armor Wearout",防具損耗率-20%,-20% Verschleiß von Rüstung
