Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish


Thompson,items,Gun,New,M1A2 Thompson,,,,,
ThompsonDesc,items,Gun,New,Old and legendary Automatic Submachine Gun that uses 9mm Ammo.\nHolding this weapon while wearing a full suit and a press cap will grant you the respect of those stingy traders and a big bonus buying and selling stuff\n\nRepair with a Repair Kit.\nScrap to Pistol Parts.,,,,,
Chaingun,items,Gun,New,M134 Minigun,,,,,
ChaingunDesc,items,Gun,New,This thing that uses 7.62mm Ammo doesn't need a description.\nIt's heavier than it looks.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
Flamethrower,items,Gun,New,Flamethrower,,,,,
FlamethrowerDesc,items,Gun,New,This is an anti-horde weapon that uses Gas Can as ammo\nLocated under Advanced Engineering\n\nRepair with a Repair Kit\nScrap to Motor Tool Parts.,,,,,
Railgun,items,Gun,New,Railgun,,,,,
RailgunDesc,items,Gun,New,Hi-tech weapon that uses Iron Dart as ammo\nLocated under Electrocutioner\n\nRepair with a Repair Kit\nScrap to Stun Baton Parts.,,,,,
M82 Barrett,items,Gun,New,M82 Barrett,,,,,
M82Desc,items,Gun,New,Very Powerful Sniper rifle that uses .50 BMG ammo.\nHigh dismember chance and massive damage.\n\nRepair with a Repair Kit.\nScrap to Hunting Rifle Parts.,,,,,
M240,items,Gun,New,M240,,,,,
M240Desc,items,Gun,New,Automatic Machine Gun that uses 7.62mm Ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
M79GL40,items,Gun,New,M79 GL40,,,,,
M79GL40Desc,items,Gun,New,Single Shot Grenade Launcher that uses 40mm Explosives,,,,,

Mac10,items,Gun,New,Mac 10,,,,,
Mac10Desc,items,Gun,New,Weak but Very fast Automatic Submachine Gun that uses 9mm Ammo.\n\nRepair with a Repair Kit.\nScrap to Pistol Parts.,,,,,
VZ61 Skorpion,items,Gun,New,VZ61 Skorpion,,,,,
SkorpionDesc,items,Gun,New,Small Automatic Pistol that uses 9mm Ammo.\n\nRepair with a Repair Kit.\nScrap to Pistol Parts.,,,,,
KRISS Vector,items,Gun,New,KRISS Vector,,,,,
VectorDesc,items,Gun,New,Fast Automatic Submachine Gun that uses 9mm Ammo.\n\nRepair with a Repair Kit.\nScrap to Pistol Parts.,,,,,

Colt38,items,Gun,New,Colt 38 Special,,,,,
Colt38Desc,items,Gun,New,Weak but reliable small pistol that uses 9mm ammo.\n\nRepair with a Repair Kit.\nScrap to Scrap Iron.,,,,,
Beretta NANO,items,Gun,New,Beretta NANO,,,,,
NANODesc,items,Gun,New,Weak but reliable small pistol that uses 9mm ammo.\n\nRepair with a Repair Kit.\nScrap to Scrap Iron.,,,,,
Colt1911,items,Gun,New,Colt 1911,,,,,
Colt1911Desc,items,Gun,New,Powerful iconic pistol that uses 9mm ammo.\n\nRepair with a Repair Kit.\nScrap to Pistol Parts.,,,,,
Glock40,items,Gun,New,Glock 40,,,,,
Glock40Desc,items,Gun,New,Fast SemiAutomatic pistol that uses 9mm ammo.\n\nRepair with a Repair Kit.\nScrap to Pistol Parts.,,,,,
HK USP,items,Gun,New,H&K USP,,,,,
