Key,Source,Context,English,German
h7sb_stTip_title,desc,main,H7SB [F4A460]Storage[-] Mod,H7SB [F4A460]Storage[-] Mod
h7sb_stTip,desc,main,"[F4A460]╔[-] Storage System \n[F4A460]╠[-] 77xUnsecured / 11xSecured \n[F4A460]╚[-] Unsecured chests or similar usually have a larger inventory than lockable ones. Apart from the wooden chest, all unsecured boxes are made as a wooden or iron furniture block and selected via the menu (R). Barrels, pallets, etc. are bulk storage facilities and have the largest inventory. Secured boxes are more robust and their capacity increases with the quality. \n\n[F4A460]╔[-] New Furniture \n[F4A460]╚[-] More than 12 new furniture to decorate your home. \n\n[F4A460]╔[-] Pushable Carts \n[F4A460]╠[-] Shopping cart, Tilt Truck \n[F4A460]╚[-] Place (RMB) the cart and press the E key to push it. Hold down the E button for a long time to open or pick up the inventory like a vehicle. \n\nThe inventory size of all fast vehicles has been reduced. \n\n[F4A460]www.eihwaz.de[-] // [ff0000]I need help with localization![-]","[F4A460]╔[-] Lagerungssystem \n[F4A460]╠[-] 77xUngesicherte / 11xGesicherte \n[F4A460]╚[-] Ungesicherte Kisten oä verfügen idR über ein größeres Inventar als verschließbare. Abgesehen von der Holztruhe werden alle ungesicherten Kisten als hölzerner bzw eiserner Möbelblock hergestellt und über das Menü (R) ausgewählt. Fässer, Paletten oä sind Massenlager und verfügen über das größte Inventar. Gesicherte Kisten sind robuster und ihr Fassungsvermögen nimmt mit steigender Qualität zu. \n\n[F4A460]╔[-] Neue Möbel \n[F4A460]╚[-] Mehr als 12 neue Möbel zum dekorieren der Wohnung. \n\n[F4A460]╔[-] Schiebbare Karren \n[F4A460]╠[-] Einkaufswagen, Kippkarre \n[F4A460]╚[-] Platziere (RMB) die Karre und drücke die E-Taste um sie zu schieben. Halte lange die E-Taste gedrückt um wie bei einem Fahrzeug das Inventar zu öffnen oder sie aufzuheben. \n\nDie Inventargröße aller schnellen Fahrzeuge wurde verringert. \n\n[F4A460]www.eihwaz.de[-]"

h7sb_stItems,desc,items,"Place the cart (RMB) and then press the E button to push it. By holding down the E button, you can open the inventory or pick it up again. Has a passenger seat.","Platziere die Karre (RMB) und drücke anschließend die E-Taste um sie zu schieben. Durch langes drücken der E-Taste kann man das Inventar öffnen oder sie wieder aufheben. Verfügt über einen Beifahrersitz."

h7sb_einkaufswagen,items,vehicle,Shopping Cart,Einkaufswagen
h7sb_kippkarre,items,vehicle,Tilt Truck,Kippkarre

h7sb_metallMöbel,blocks,helper,Metal Furniture,Metallmöbel
h7sb_holzMöbel,blocks,helper,Wooden Furniture,Holzmöbel
h7sb_holzkisteOffen,blocks,block,Wooden Chest,Holztruhe
h7sb_holzkiste,blocks,block,Wooden Chest,Holztruhe
h7sb_holzkisteOffen1,blocks,block,Fancier Wooden Chest,Edle Holztruhe
h7sb_holzkiste1,blocks,block,Noble Wooden Chest,Edle Holztruhe
