Key,Source,Context,Changes,English,French,German,Spanish
PhDPorchLight01,blocks,Light,,Old Fashion Porch Light (PhD),Lumière de porche à l'ancienne (PhD),Old Fashion Veranda Licht (PhD),Luz de pórtico de moda antigua (PhD)
PhDPorchLight04,blocks,Light,,Porch Light (PhD),Porche lumière (PhD),Veranda Licht (PhD),Luz del porche (PhD)
PhDPorchLight04Brass,blocks,Light,,Brass Porch Light (PhD),Lampe de porche en laiton (PhD),Messing Veranda Licht (PhD),Luz de pórtico de latón (PhD)
PhDCeilingLight01,blocks,Light,,Bare Ceiling Light (PhD),Plafonnier nu,Nackte Deckenleuchte (PhD),Luz de techo desnuda (PhD)
PhDCeilingLight02,blocks,Light,,Covered Ceiling Light (PhD),Plafonnier couvert (PhD),Überdachte Deckenleuchte (PhD),Luz de techo cubierta (PhD)
PhDCeilingLight02Brass,blocks,Light,,Brass Covered Ceiling Light (PhD),Plafonnier recouvert de laiton (PhD),Deckenleuchte mit Messingüberzug (PhD),Luz de techo cubierta de latón (PhD)
PhDCeilingLight04,blocks,Light,,Ceiling Light (PhD),Plafonnier (PhD),Deckenleuchte (PhD),Lámpara de techo (PhD)
PhDCeilingLight05,blocks,Light,,Ceiling Light (PhD),Plafonnier (PhD),Deckenleuchte (PhD),Lámpara de techo (PhD)
PhDCeilingLight05Brass,blocks,Light,,Brass Ceiling Light (PhD),Plafonnier en laiton (PhD),Deckenleuchte aus Messing (PhD),Luz de techo de latón (PhD)
PhDRecessedLight,blocks,Light,,Recessed Light (PhD),Lumière encastrée (PhD),Einbauleuchte (PhD),Luz empotrada (PhD)
PhDWallLight,blocks,Light,,Wall Light (PhD),Applique murale (PhD),Wandleuchte (PhD),Luz de pared (PhD)
PhDFluorescentLight01,blocks,Light,,Fluorescent Light (PhD),Lumière fluorescente (PhD),Fluoreszierendes Licht (PhD),Luz fluorescente (PhD)
PhDFluorescentLight02,blocks,Light,,Hanging Fluorescent Light (PhD),Lampe fluorescente suspendue (PhD),Hängendes fluoreszierendes Licht (PhD),Luz fluorescente colgante (PhD)
PhDTrackLight,blocks,Light,,Track Lighting (PhD),Éclairage sur rail (PhD),Schienenbeleuchtung (PhD),Iluminación de la pista (PhD)
PhDStreetLight01,blocks,Light,,Street Light (PhD),Éclairage public (PhD),Strassenlicht (PhD),Luz de la calle (PhD)
PhDStreetLightClassic,blocks,Light,,Classic Street Light (PhD),Lampadaire classique (PhD),Klassische Straßenlaterne (PhD),Farola clásica (PhD)
PhDIndustrialLight,blocks,Light,,Industrial Light 01 (PhD),Lumière industrielle 01 (PhD),Industrielicht 01 (PhD),Luz industrial 01 (PhD)
PhDSconceLight,blocks,Light,,Sconce Light (PhD),Applique lumineuse (PhD),Wandleuchte Licht (PhD),Aplique de luz (PhD)
PhDSconceLightShadow,blocks,Light,,Shadowed Sconce Light (PhD),Applique Shadowed Light (PhD),Schattenleuchterlicht (PhD),Luz de aplique sombreada (PhD)
PhDIndustrialLight02,blocks,Light,,Industrial Light 02 (PhD),Lumière industrielle 02 (PhD),Industrielicht 02 (PhD),Luz industrial 02 (PhD)
PhDIndustrialLight02Red,blocks,Light,,Industrial Light 02 Red (PhD),Lampe industrielle 02 rouge (PhD),Industrielicht 02 Rot (PhD),Luz industrial 02 rojo (PhD)
PhDCeilingFanLight,blocks,Light,,Ceiling Fan (PhD),Ventilateur de plafond (PhD),Deckenventilator (PhD),Ventilador de techo (PhD)
PhDChandelierLight,blocks,Light,,Chandelier (PhD),Lustre (PhD),Leuchter (PhD),Candelabro (PhD)
PhDExitSign,blocks,Light,,Exit Sign (PhD),Panneau de sortie (PhD),Ausgangsschild (PhD),Señal de salida (PhD)
PhDRoadBarricade,blocks,Light,,Road Barricade (PhD),Barricade routière (PhD),Straßenbarrikade (PhD),Barricada del camino (PhD)
PhDDeskLamp,blocks,Light,,Desk Lamp (PhD),Lampe de bureau (PhD),Schreibtischlampe (PhD),Lámpara de escritorio (PhD)
PhDTableLamp,blocks,Light,,Table Lamp (PhD),Lampe de table (PhD),Tischlampe (PhD),Lámpara de mesa (PhD)
PhDWorkLight,blocks,Light,,Work Light (PhD),Lampe de travail (PhD),Arbeitslampe (PhD),Luz de trabajo (PhD)
PhDSignShopOpen,blocks,Light,,Shop Sign (PhD),Signe de la boutique (PhD),Ladenschild (PhD),Rótulo de establecimiento (PhD)
PhDSpotlightPlayer,blocks,Light,,Spotlight (PhD),Projecteur (PhD),Scheinwerfer (PhD),Destacar (PhD)
PhDFuseBox,blocks,Light,,Fusebox (PhD),Fusebox (PhD),Sicherungskasten (PhD),Caja de fusibles (PhD)
PhDFuseBlock,blocks,Light,,Fuse Block (PhD),Bloc de fusible (PhD),Sicherungsblock (PhD),Cuadro de luces o fusibles (PhD)
