Key,File,Type,UsedInMainMenu,NoTranslate,english,russian

Key,buffs,Buff,,"no translate","ru text"

rechargeBlock,blocks,Block,New,Recharge Block,Recharge Block,Зарядный Блок
rechargeBlockDesc,,blocks,Block,New,"Recharge Block used to reload some weapons and tools. Connect it to a power source and place objects requiring recharging in the cells.","Recharge Block used to reload some weapons and tools. Connect it to a power source and place objects requiring recharging in the cells.","Зарядный Блок используемый для перезарядки некоторого оружия и инструментов. Подлключите его к источнику питания и поместите в ячейки предметы, требующие зарядки".

gunHandgunT1PistolDesc,items,Gun,,"A basic pistol that uses 9mm ammo.\nRepair with a [33FF00]Handgun Parts[-].\nScrap to [33FF00]Handgun Parts[-].","A basic pistol that uses 9mm ammo.\nRepair with a [33FF00]Handgun Parts[-].\nScrap to [33FF00]Handgun Parts[-].","Стандартный пистолет, использующий патроны калибра 9 мм.\nРемонтируется с помощью [33FF00]Частей Пистолета[-].\nРазбирается на [33FF00]Части Пистолета[-]."

gunHandgunT3SMG5Desc,items,Gun,,"This submachine gun uses 9mm ammo.\nRepair with a [33FF00]Handgun Parts[-].\nScrap to [33FF00]Handgun Parts[-].","This submachine gun uses 9mm ammo.\nRepair with a [33FF00]Handgun Parts[-].\nScrap to [33FF00]Handgun Parts[-].","Этот пистолет-пулемет использует патроны калибра 9 мм.\nРемонтируется с помощью [33FF00]Частей Пистолета[-].\nРазбирается на [33FF00]Части Пистолета[-]."

gunHandgunT2Magnum44Desc,items,Gun,,"The .44 Magnum is the king of handguns. It's the most powerful but makes the most noise. Wield this bad boy and make Clint proud.\nRepair with a [33FF00]Handgun Parts[-].\nScrap to [33FF00]Handgun Parts[-].","The .44 Magnum is the king of handguns. It's the most powerful but makes the most noise. Wield this bad boy and make Clint proud.\nRepair with a [33FF00]Handgun Parts[-].\nScrap to [33FF00]Handgun Parts[-].","Револьвер .44 Magnum – король в своем классе. Он самый убойный, но и самый шумный. Заполучи этого красавца, пусть Клинт гордится тобой.\nРемонтируется с помощью [33FF00]Частей Пистолета[-].\nРазбирается на [33FF00]Части Пистолета[-]."

gunHandgunT3DesertVultureDesc,items,Gun,,"This heavy pistol uses .44 Magnum ammo.\nRepair with a [33FF00]Handgun Parts[-].\nScrap to [33FF00]Handgun Parts[-].","This heavy pistol uses .44 Magnum ammo.\nRepair with a [33FF00]Handgun Parts[-].\nScrap to [33FF00]Handgun Parts[-].","Этот тяжелый пистолет использует патроны «.44 Magnum».\nРемонтируется с помощью [33FF00]Частей Пистолета[-].\nРазбирается на [33FF00]Части Пистолета[-]."

gunShotgunT1DoubleBarrelDesc,items,Gun,,"A rusty old double barrel shotgun, great for close range carnage.\nRepair with a [33FF00]Shotgun Parts[-].\nScrap to [33FF00]Shotgun Parts[-].","A rusty old double barrel shotgun, great for close range carnage.\nRepair with a [33FF00]Shotgun Parts[-].\nScrap to [33FF00]Shotgun Parts[-].","Старая ржавая двустволка идеальна для кровопролития на коротких дистанциях.\nРемонтируется с помощью [33FF00]частей дробовика[-].\nРазбирается на [33FF00]части дробовика[-]."

gunShotgunT2PumpShotgunDesc,items,Gun,,"A long-barreled shotgun with pump action loading .\nRepair with a [33FF00]Shotgun Parts[-].\nScrap to [33FF00]Shotgun Parts[-]","A long-barreled shotgun with pump action loading .\nRepair with a [33FF00]Shotgun Parts[-].\nScrap to [33FF00]Shotgun Parts[-]","Длинноствольный помповый дробовик.\nРемонтируется с помощью [33FF00]частей дробовика[-].\nРазбирается на [33FF00]части дробовика[-]."

gunShotgunT3AutoShotgunDesc,items,Gun,,"This semi automatic shotgun is a rare and devasting short range weapon capable of making minced meat out of anything in its path.\nRepair with a [33FF00]Shotgun Parts[-].\nScrap to [33FF00]Shotgun Parts[-].","This semi automatic shotgun is a rare and devasting short range weapon capable of making minced meat out of anything in its path.\nRepair with a [33FF00]Shotgun Parts[-].\nScrap to [33FF00]Shotgun Parts[-].","Полуавтоматический дробовик редкое и разрушительное на коротких дистанциях оружие, способное превратить в фарш всё на своем пути.\nРемонтируется с помощью [33FF00]частей дробовика[-].\nРазбирается на [33FF00]части дробовика[-]."

gunRifleT1HuntingRifleDesc,items,Gun,,"This common farmer's hunting rifle uses 7.62mm ammo.\nRepair with a [33FF00]Rifle parts[-].\nScrap to [33FF00]Rifle parts[-].","This common farmer's hunting rifle uses 7.62mm ammo.\nRepair with a [33FF00]Rifle parts[-].\nScrap to [33FF00]Rifle parts[-].","Распространенное среди фермеров охотничье ружье использует патроны калибра 7,62 мм.\nРемонтируется с помощью [33FF00]частей ружья[-].\nРазбирается на [33FF00]части ружья[-]."

